"Date","Price","Open","High","Low","Change %"
"May 02, 2019","1,713.290","1,713.290","1,713.290","1,713.290","0.00%"
"Apr 30, 2019","1,713.240","1,713.240","1,713.240","1,713.240","0.03%"
"Apr 29, 2019","1,712.720","1,712.720","1,712.720","1,712.720","0.01%"
"Apr 26, 2019","1,712.570","1,712.570","1,712.570","1,712.570","0.03%"
"Apr 25, 2019","1,712.110","1,712.110","1,712.110","1,712.110","-0.02%"
"Apr 24, 2019","1,712.530","1,712.530","1,712.530","1,712.530","0.00%"
"Apr 23, 2019","1,712.480","1,712.480","1,712.480","1,712.480","-0.02%"
"Apr 18, 2019","1,712.770","1,712.770","1,712.770","1,712.770","-0.02%"
"Apr 17, 2019","1,713.190","1,713.190","1,713.190","1,713.190","0.03%"
"Apr 16, 2019","1,712.650","1,712.650","1,712.650","1,712.650","0.00%"
"Apr 15, 2019","1,712.650","1,712.650","1,712.650","1,712.650","-0.01%"
"Apr 12, 2019","1,712.790","1,712.790","1,712.790","1,712.790","0.00%"
"Apr 11, 2019","1,712.760","1,712.760","1,712.760","1,712.760","0.03%"
"Apr 10, 2019","1,712.280","1,712.280","1,712.280","1,712.280","0.01%"
"Apr 09, 2019","1,712.070","1,712.070","1,712.070","1,712.070","0.03%"
"Apr 08, 2019","1,711.580","1,711.580","1,711.580","1,711.580","0.02%"
"Apr 05, 2019","1,711.250","1,711.250","1,711.250","1,711.250","0.05%"
"Apr 04, 2019","1,710.480","1,710.480","1,710.480","1,710.480","0.06%"
"Apr 03, 2019","1,709.510","1,709.510","1,709.510","1,709.510","-0.08%"
"Apr 02, 2019","1,710.800","1,710.800","1,710.800","1,710.800","0.07%"
"Apr 01, 2019","1,709.630","1,709.630","1,709.630","1,709.630","-0.05%"
"Mar 29, 2019","1,710.480","1,710.480","1,710.480","1,710.480","0.04%"
"Mar 28, 2019","1,709.760","1,709.760","1,709.760","1,709.760","0.00%"
"Mar 27, 2019","1,709.680","1,709.680","1,709.680","1,709.680","0.06%"
"Mar 26, 2019","1,708.600","1,708.600","1,708.600","1,708.600","0.00%"
"Mar 25, 2019","1,708.570","1,708.570","1,708.570","1,708.570","-0.01%"
"Mar 22, 2019","1,708.680","1,708.680","1,708.680","1,708.680","0.08%"
"Mar 21, 2019","1,707.310","1,707.310","1,707.310","1,707.310","0.06%"
"Mar 20, 2019","1,706.220","1,706.220","1,706.220","1,706.220","-0.03%"
"Mar 19, 2019","1,706.810","1,706.810","1,706.810","1,706.810","0.02%"
"Mar 18, 2019","1,706.550","1,706.550","1,706.550","1,706.550","0.05%"
"Mar 15, 2019","1,705.730","1,705.730","1,705.730","1,705.730","0.03%"
"Mar 14, 2019","1,705.140","1,705.140","1,705.140","1,705.140","0.04%"
"Mar 13, 2019","1,704.460","1,704.460","1,704.460","1,704.460","0.02%"
"Mar 12, 2019","1,704.130","1,704.130","1,704.130","1,704.130","0.05%"
"Mar 11, 2019","1,703.230","1,703.230","1,703.230","1,703.230","0.01%"
"Mar 08, 2019","1,703.120","1,703.120","1,703.120","1,703.120","0.01%"
"Mar 07, 2019","1,703.020","1,703.020","1,703.020","1,703.020","-0.04%"
"Mar 06, 2019","1,703.680","1,703.680","1,703.680","1,703.680","-0.05%"
"Mar 05, 2019","1,704.520","1,704.520","1,704.520","1,704.520","0.01%"
"Mar 04, 2019","1,704.430","1,704.430","1,704.430","1,704.430","-0.01%"
"Mar 01, 2019","1,704.560","1,704.560","1,704.560","1,704.560","0.01%"
"Feb 28, 2019","1,704.410","1,704.410","1,704.410","1,704.410","0.00%"
"Feb 27, 2019","1,704.340","1,704.340","1,704.340","1,704.340","0.02%"
"Feb 26, 2019","1,704.040","1,704.040","1,704.040","1,704.040","0.02%"
"Feb 25, 2019","1,703.630","1,703.630","1,703.630","1,703.630","0.01%"
"Feb 22, 2019","1,703.400","1,703.400","1,703.400","1,703.400","0.01%"
"Feb 21, 2019","1,703.310","1,703.310","1,703.310","1,703.310","-0.00%"
"Feb 20, 2019","1,703.340","1,703.340","1,703.340","1,703.340","0.02%"
"Feb 19, 2019","1,703.060","1,703.060","1,703.060","1,703.060","0.02%"
"Feb 18, 2019","1,702.790","1,702.790","1,702.790","1,702.790","0.00%"
"Feb 15, 2019","1,702.780","1,702.780","1,702.780","1,702.780","-0.01%"
"Feb 14, 2019","1,702.990","1,702.990","1,702.990","1,702.990","0.02%"
"Feb 13, 2019","1,702.640","1,702.640","1,702.640","1,702.640","0.01%"
"Feb 12, 2019","1,702.390","1,702.390","1,702.390","1,702.390","0.01%"
"Feb 11, 2019","1,702.160","1,702.160","1,702.160","1,702.160","-0.04%"
"Feb 08, 2019","1,702.830","1,702.830","1,702.830","1,702.830","-0.01%"
"Feb 07, 2019","1,703.060","1,703.060","1,703.060","1,703.060","-0.03%"
"Feb 06, 2019","1,703.490","1,703.490","1,703.490","1,703.490","0.04%"
"Feb 05, 2019","1,702.890","1,702.890","1,702.890","1,702.890","0.03%"
"Feb 04, 2019","1,702.380","1,702.380","1,702.380","1,702.380","-0.00%"
"Feb 01, 2019","1,702.390","1,702.390","1,702.390","1,702.390","-0.01%"
"Jan 31, 2019","1,702.620","1,702.620","1,702.620","1,702.620","0.09%"
"Jan 30, 2019","1,701.080","1,701.080","1,701.080","1,701.080","0.05%"
"Jan 29, 2019","1,700.250","1,700.250","1,700.250","1,700.250","0.00%"
"Jan 28, 2019","1,700.190","1,700.190","1,700.190","1,700.190","-0.02%"
"Jan 25, 2019","1,700.550","1,700.550","1,700.550","1,700.550","0.04%"
"Jan 24, 2019","1,699.810","1,699.810","1,699.810","1,699.810","0.04%"
"Jan 23, 2019","1,699.160","1,699.160","1,699.160","1,699.160","-0.00%"
"Jan 22, 2019","1,699.240","1,699.240","1,699.240","1,699.240","0.01%"
"Jan 21, 2019","1,699.000","1,699.000","1,699.000","1,699.000","0.01%"
"Jan 18, 2019","1,698.790","1,698.790","1,698.790","1,698.790","0.05%"
"Jan 17, 2019","1,697.940","1,697.940","1,697.940","1,697.940","0.02%"
"Jan 16, 2019","1,697.560","1,697.560","1,697.560","1,697.560","0.06%"
"Jan 15, 2019","1,696.600","1,696.600","1,696.600","1,696.600","0.03%"
"Jan 14, 2019","1,696.170","1,696.170","1,696.170","1,696.170","-0.02%"
"Jan 11, 2019","1,696.440","1,696.440","1,696.440","1,696.440","0.03%"
"Jan 10, 2019","1,695.910","1,695.910","1,695.910","1,695.910","-0.01%"
"Jan 09, 2019","1,696.060","1,696.060","1,696.060","1,696.060","0.03%"
"Jan 08, 2019","1,695.580","1,695.580","1,695.580","1,695.580","0.04%"
"Jan 07, 2019","1,694.890","1,694.890","1,694.890","1,694.890","0.02%"
"Jan 04, 2019","1,694.520","1,694.520","1,694.520","1,694.520","-0.02%"
"Jan 03, 2019","1,694.850","1,694.850","1,694.850","1,694.850","-0.06%"
"Jan 02, 2019","1,695.950","1,695.950","1,695.950","1,695.950","-0.16%"
"Dec 31, 2018","1,698.690","1,698.690","1,698.690","1,698.690","-0.00%"
"Dec 28, 2018","1,698.760","1,698.760","1,698.760","1,698.760","0.01%"
"Dec 27, 2018","1,698.520","1,698.520","1,698.520","1,698.520","-0.09%"
"Dec 24, 2018","1,700.070","1,700.070","1,700.070","1,700.070","-0.00%"
"Dec 21, 2018","1,700.110","1,700.110","1,700.110","1,700.110","-0.02%"
"Dec 20, 2018","1,700.530","1,700.530","1,700.530","1,700.530","-0.02%"
"Dec 19, 2018","1,700.890","1,700.890","1,700.890","1,700.890","0.01%"
"Dec 18, 2018","1,700.730","1,700.730","1,700.730","1,700.730","-0.03%"
"Dec 17, 2018","1,701.200","1,701.200","1,701.200","1,701.200","-0.02%"
"Dec 14, 2018","1,701.530","1,701.530","1,701.530","1,701.530","-0.05%"
"Dec 13, 2018","1,702.460","1,702.460","1,702.460","1,702.460","0.04%"
"Dec 12, 2018","1,701.780","1,701.780","1,701.780","1,701.780","0.02%"
"Dec 11, 2018","1,701.370","1,701.370","1,701.370","1,701.370","-0.01%"
"Dec 10, 2018","1,701.550","1,701.550","1,701.550","1,701.550","-0.05%"
"Dec 07, 2018","1,702.420","1,702.420","1,702.420","1,702.420","0.05%"
"Dec 06, 2018","1,701.630","1,701.630","1,701.630","1,701.630","-0.08%"
"Dec 05, 2018","1,702.920","1,702.920","1,702.920","1,702.920","-0.04%"
"Dec 04, 2018","1,703.540","1,703.540","1,703.540","1,703.540","-0.04%"
"Dec 03, 2018","1,704.250","1,704.250","1,704.250","1,704.250","0.03%"
"Nov 30, 2018","1,703.740","1,703.740","1,703.740","1,703.740","0.00%"
"Nov 29, 2018","1,703.680","1,703.680","1,703.680","1,703.680","-0.02%"
"Nov 28, 2018","1,703.980","1,703.980","1,703.980","1,703.980","-0.04%"
"Nov 27, 2018","1,704.690","1,704.690","1,704.690","1,704.690","-0.06%"
"Nov 26, 2018","1,705.710","1,705.710","1,705.710","1,705.710","0.08%"
"Nov 23, 2018","1,704.310","1,704.310","1,704.310","1,704.310","-0.13%"
"Nov 22, 2018","1,706.590","1,706.590","1,706.590","1,706.590","0.04%"
"Nov 21, 2018","1,705.890","1,705.890","1,705.890","1,705.890","0.17%"
"Nov 20, 2018","1,703.050","1,703.050","1,703.050","1,703.050","-0.17%"
"Nov 19, 2018","1,705.910","1,705.910","1,705.910","1,705.910","-0.12%"
"Nov 16, 2018","1,707.960","1,707.960","1,707.960","1,707.960","-0.02%"
"Nov 15, 2018","1,708.270","1,708.270","1,708.270","1,708.270","-0.27%"
"Nov 14, 2018","1,712.860","1,712.860","1,712.860","1,712.860","-0.06%"
"Nov 13, 2018","1,713.960","1,713.960","1,713.960","1,713.960","0.01%"
"Nov 12, 2018","1,713.770","1,713.770","1,713.770","1,713.770","-0.13%"
"Nov 09, 2018","1,715.980","1,715.980","1,715.980","1,715.980","-0.21%"
"Nov 08, 2018","1,719.620","1,719.620","1,719.620","1,719.620","0.03%"
"Nov 07, 2018","1,719.180","1,719.180","1,719.180","1,719.180","0.08%"
"Nov 06, 2018","1,717.860","1,717.860","1,717.860","1,717.860","0.00%"
"Nov 05, 2018","1,717.810","1,717.810","1,717.810","1,717.810","-0.04%"
"Nov 02, 2018","1,718.440","1,718.440","1,718.440","1,718.440","0.04%"
"Oct 31, 2018","1,717.710","1,717.710","1,717.710","1,717.710","0.02%"
"Oct 30, 2018","1,717.440","1,717.440","1,717.440","1,717.440","-0.01%"
"Oct 29, 2018","1,717.630","1,717.630","1,717.630","1,717.630","0.03%"
"Oct 26, 2018","1,717.150","1,717.150","1,717.150","1,717.150","-0.14%"
"Oct 25, 2018","1,719.540","1,719.540","1,719.540","1,719.540","-0.00%"
"Oct 24, 2018","1,719.620","1,719.620","1,719.620","1,719.620","-0.15%"
"Oct 23, 2018","1,722.240","1,722.240","1,722.240","1,722.240","-0.14%"
"Oct 22, 2018","1,724.640","1,724.640","1,724.640","1,724.640","0.06%"
"Oct 19, 2018","1,723.560","1,723.560","1,723.560","1,723.560","-0.01%"
"Oct 18, 2018","1,723.680","1,723.680","1,723.680","1,723.680","-0.12%"
"Oct 17, 2018","1,725.820","1,725.820","1,725.820","1,725.820","-0.10%"
"Oct 16, 2018","1,727.480","1,727.480","1,727.480","1,727.480","-0.01%"
"Oct 15, 2018","1,727.600","1,727.600","1,727.600","1,727.600","-0.01%"
"Oct 12, 2018","1,727.820","1,727.820","1,727.820","1,727.820","-0.02%"
"Oct 11, 2018","1,728.130","1,728.130","1,728.130","1,728.130","-0.21%"
"Oct 10, 2018","1,731.690","1,731.690","1,731.690","1,731.690","0.08%"
"Oct 09, 2018","1,730.390","1,730.390","1,730.390","1,730.390","-0.08%"
"Oct 08, 2018","1,731.780","1,731.780","1,731.780","1,731.780","-0.11%"
