"Date","Price","Open","High","Low","Change %"
"Aug 18, 2017","3,739.000","3,739.000","3,739.000","3,739.000","-0.64%"
"Aug 17, 2017","3,763.000","3,763.000","3,763.000","3,763.000","-0.58%"
"Aug 16, 2017","3,785.000","3,785.000","3,785.000","3,785.000","0.45%"
"Aug 15, 2017","3,768.000","3,768.000","3,768.000","3,768.000","0.94%"
"Aug 14, 2017","3,733.000","3,733.000","3,733.000","3,733.000","-0.98%"
"Aug 10, 2017","3,770.000","3,770.000","3,770.000","3,770.000","-0.21%"
"Aug 09, 2017","3,778.000","3,778.000","3,778.000","3,778.000","-0.74%"
"Aug 08, 2017","3,806.000","3,806.000","3,806.000","3,806.000","0.05%"
"Aug 07, 2017","3,804.000","3,804.000","3,804.000","3,804.000","0.58%"
"Aug 04, 2017","3,782.000","3,782.000","3,782.000","3,782.000","-0.76%"
"Aug 03, 2017","3,811.000","3,811.000","3,811.000","3,811.000","0.26%"
"Aug 02, 2017","3,801.000","3,801.000","3,801.000","3,801.000","0.21%"
"Aug 01, 2017","3,793.000","3,793.000","3,793.000","3,793.000","-0.08%"
"Jul 31, 2017","3,796.000","3,796.000","3,796.000","3,796.000","-0.63%"
"Jul 28, 2017","3,820.000","3,820.000","3,820.000","3,820.000","0.16%"
"Jul 27, 2017","3,814.000","3,814.000","3,814.000","3,814.000","-0.83%"
"Jul 26, 2017","3,846.000","3,846.000","3,846.000","3,846.000","0.60%"
"Jul 25, 2017","3,823.000","3,823.000","3,823.000","3,823.000","0.39%"
"Jul 24, 2017","3,808.000","3,808.000","3,808.000","3,808.000","-2.33%"
"Jul 21, 2017","3,899.000","3,899.000","3,899.000","3,899.000","0.21%"
"Jul 20, 2017","3,891.000","3,891.000","3,891.000","3,891.000","0.15%"
"Jul 19, 2017","3,885.000","3,885.000","3,885.000","3,885.000","-0.31%"
"Jul 18, 2017","3,897.000","3,897.000","3,897.000","3,897.000","-0.61%"
"Jul 14, 2017","3,921.000","3,921.000","3,921.000","3,921.000","0.31%"
"Jul 13, 2017","3,909.000","3,909.000","3,909.000","3,909.000","-0.10%"
"Jul 12, 2017","3,913.000","3,913.000","3,913.000","3,913.000","-0.36%"
"Jul 11, 2017","3,927.000","3,927.000","3,927.000","3,927.000","0.08%"
"Jul 10, 2017","3,924.000","3,924.000","3,924.000","3,924.000","0.64%"
"Jul 07, 2017","3,899.000","3,899.000","3,899.000","3,899.000","0.13%"
"Jul 06, 2017","3,894.000","3,894.000","3,894.000","3,894.000","-0.08%"
"Jul 05, 2017","3,897.000","3,897.000","3,897.000","3,897.000","-0.10%"
"Jul 04, 2017","3,901.000","3,901.000","3,901.000","3,901.000","0.91%"
"Jul 03, 2017","3,866.000","3,866.000","3,866.000","3,866.000","0.31%"
"Jun 30, 2017","3,854.000","3,854.000","3,854.000","3,854.000","-0.31%"
"Jun 29, 2017","3,866.000","3,866.000","3,866.000","3,866.000","0.36%"
"Jun 28, 2017","3,852.000","3,852.000","3,852.000","3,852.000","0.16%"
"Jun 27, 2017","3,846.000","3,846.000","3,846.000","3,846.000","0.73%"
"Jun 26, 2017","3,818.000","3,818.000","3,818.000","3,818.000","0.03%"
"Jun 23, 2017","3,817.000","3,817.000","3,817.000","3,817.000","0.24%"
"Jun 22, 2017","3,808.000","3,808.000","3,808.000","3,808.000","-1.78%"
"Jun 21, 2017","3,877.000","3,877.000","3,877.000","3,877.000","-0.64%"
"Jun 20, 2017","3,902.000","3,902.000","3,902.000","3,902.000","0.75%"
"Jun 19, 2017","3,873.000","3,873.000","3,873.000","3,873.000","-0.13%"
"Jun 16, 2017","3,878.000","3,878.000","3,878.000","3,878.000","1.09%"
"Jun 15, 2017","3,836.000","3,836.000","3,836.000","3,836.000","-0.34%"
"Jun 14, 2017","3,849.000","3,849.000","3,849.000","3,849.000","0.21%"
"Jun 13, 2017","3,841.000","3,841.000","3,841.000","3,841.000","-0.16%"
"Jun 12, 2017","3,847.000","3,847.000","3,847.000","3,847.000","0.18%"
"Jun 09, 2017","3,840.000","3,840.000","3,840.000","3,840.000","-0.05%"
"Jun 08, 2017","3,842.000","3,842.000","3,842.000","3,842.000","0.31%"
"Jun 07, 2017","3,830.000","3,830.000","3,830.000","3,830.000","-0.55%"
"Jun 06, 2017","3,851.000","3,851.000","3,851.000","3,851.000","-0.26%"
"Jun 05, 2017","3,861.000","3,861.000","3,861.000","3,861.000","-0.90%"
"Jun 02, 2017","3,896.000","3,896.000","3,896.000","3,896.000","0.78%"
"Jun 01, 2017","3,866.000","3,866.000","3,866.000","3,866.000","0.05%"
"May 31, 2017","3,864.000","3,864.000","3,864.000","3,864.000","-0.05%"
"May 30, 2017","3,866.000","3,866.000","3,866.000","3,866.000","-0.21%"
"May 29, 2017","3,874.000","3,874.000","3,874.000","3,874.000","-0.36%"
"May 26, 2017","3,888.000","3,888.000","3,888.000","3,888.000","0.15%"
"May 25, 2017","3,882.000","3,882.000","3,882.000","3,882.000","-0.05%"
"May 24, 2017","3,884.000","3,884.000","3,884.000","3,884.000","0.60%"
"May 23, 2017","3,861.000","3,861.000","3,861.000","3,861.000","-0.26%"
"May 22, 2017","3,871.000","3,871.000","3,871.000","3,871.000","-0.82%"
"May 19, 2017","3,903.000","3,903.000","3,903.000","3,903.000","0.21%"
"May 18, 2017","3,895.000","3,895.000","3,895.000","3,895.000","-1.62%"
"May 17, 2017","3,959.000","3,959.000","3,959.000","3,959.000","-0.98%"
"May 16, 2017","3,998.000","3,998.000","3,998.000","3,998.000","0.45%"
"May 15, 2017","3,980.000","3,980.000","3,980.000","3,980.000","-0.40%"
"May 12, 2017","3,996.000","3,996.000","3,996.000","3,996.000","-0.22%"
"May 11, 2017","4,005.000","4,005.000","4,005.000","4,005.000","0.45%"
"May 10, 2017","3,987.000","3,987.000","3,987.000","3,987.000","0.68%"
"May 09, 2017","3,960.000","3,960.000","3,960.000","3,960.000","0.53%"
"May 08, 2017","3,939.000","3,939.000","3,939.000","3,939.000","0.72%"
"May 02, 2017","3,911.000","3,911.000","3,911.000","3,911.000","0.41%"
"May 01, 2017","3,895.000","3,895.000","3,895.000","3,895.000","0.28%"
"Apr 28, 2017","3,884.000","3,884.000","3,884.000","3,884.000","-0.05%"
