"Date","Price","Open","High","Low","Change %"
"Dec 06, 2016","7,691.000","7,691.000","7,691.000","7,691.000","-0.95%"
"Dec 05, 2016","7,765.000","7,765.000","7,765.000","7,765.000","1.15%"
"Dec 02, 2016","7,677.000","7,677.000","7,677.000","7,677.000","-1.58%"
"Dec 01, 2016","7,800.000","7,800.000","7,800.000","7,800.000","-0.69%"
"Nov 30, 2016","7,854.000","7,854.000","7,854.000","7,854.000","-0.04%"
"Nov 29, 2016","7,857.000","7,857.000","7,857.000","7,857.000","-0.03%"
"Nov 28, 2016","7,859.000","7,859.000","7,859.000","7,859.000","0.32%"
"Nov 25, 2016","7,834.000","7,834.000","7,834.000","7,834.000","-0.17%"
"Nov 24, 2016","7,847.000","7,847.000","7,847.000","7,847.000","-2.25%"
"Nov 22, 2016","8,028.000","8,028.000","8,028.000","8,028.000","0.27%"
"Nov 21, 2016","8,006.000","8,006.000","8,006.000","8,006.000","-1.54%"
"Nov 18, 2016","8,131.000","8,131.000","8,131.000","8,131.000","-0.21%"
"Nov 17, 2016","8,148.000","8,148.000","8,148.000","8,148.000","0.18%"
"Nov 16, 2016","8,133.000","8,133.000","8,133.000","8,133.000","1.11%"
"Nov 15, 2016","8,044.000","8,044.000","8,044.000","8,044.000","-1.70%"
"Nov 14, 2016","8,183.000","8,183.000","8,183.000","8,183.000","-2.71%"
"Nov 11, 2016","8,411.000","8,411.000","8,411.000","8,411.000","-1.12%"
"Nov 10, 2016","8,506.000","8,506.000","8,506.000","8,506.000","-0.09%"
"Nov 09, 2016","8,514.000","8,514.000","8,514.000","8,514.000","-0.06%"
"Nov 08, 2016","8,519.000","8,519.000","8,519.000","8,519.000","-1.50%"
"Nov 07, 2016","8,649.000","8,649.000","8,649.000","8,649.000","0.32%"
"Nov 04, 2016","8,621.000","8,621.000","8,621.000","8,621.000","0.74%"
"Nov 02, 2016","8,558.000","8,558.000","8,558.000","8,558.000","1.25%"
"Nov 01, 2016","8,452.000","8,452.000","8,452.000","8,452.000","-0.08%"
"Oct 31, 2016","8,459.000","8,459.000","8,459.000","8,459.000","0.73%"
"Oct 28, 2016","8,398.000","8,398.000","8,398.000","8,398.000","-0.52%"
"Oct 27, 2016","8,442.000","8,442.000","8,442.000","8,442.000","0.06%"
"Oct 26, 2016","8,437.000","8,437.000","8,437.000","8,437.000","0.31%"
"Oct 25, 2016","8,411.000","8,411.000","8,411.000","8,411.000","-0.05%"
"Oct 24, 2016","8,415.000","8,415.000","8,415.000","8,415.000","-0.45%"
"Oct 21, 2016","8,453.000","8,453.000","8,453.000","8,453.000","0.20%"
