"Date","Price","Open","High","Low","Change %"
"Dec 08, 2017","245.75","245.75","245.75","245.75","0.56%"
"Dec 07, 2017","244.38","244.38","244.38","244.38","0.31%"
"Dec 06, 2017","243.62","243.62","243.62","243.62","-0.01%"
"Dec 05, 2017","243.64","243.64","243.64","243.64","-0.37%"
"Dec 04, 2017","244.55","244.55","244.55","244.55","-0.10%"
"Dec 01, 2017","244.80","244.80","244.80","244.80","-0.20%"
"Nov 30, 2017","245.29","245.29","245.29","245.29","0.86%"
"Nov 29, 2017","243.21","243.21","243.21","243.21","-0.02%"
"Nov 28, 2017","243.27","243.27","243.27","243.27","0.99%"
"Nov 27, 2017","240.88","240.88","240.88","240.88","-0.03%"
"Nov 24, 2017","240.95","240.95","240.95","240.95","0.21%"
"Nov 22, 2017","240.45","240.45","240.45","240.45","-0.06%"
"Nov 21, 2017","240.60","240.60","240.60","240.60","0.66%"
"Nov 20, 2017","239.03","239.03","239.03","239.03","0.13%"
"Nov 17, 2017","238.72","238.72","238.72","238.72","-0.26%"
"Nov 16, 2017","239.34","239.34","239.34","239.34","0.85%"
"Nov 15, 2017","237.32","237.32","237.32","237.32","-0.53%"
"Nov 14, 2017","238.58","238.58","238.58","238.58","-0.22%"
"Nov 13, 2017","239.10","239.10","239.10","239.10","0.10%"
"Nov 10, 2017","238.86","238.86","238.86","238.86","-0.05%"
"Nov 09, 2017","238.99","238.99","238.99","238.99","-0.35%"
"Nov 08, 2017","239.83","239.83","239.83","239.83","0.15%"
"Nov 07, 2017","239.48","239.48","239.48","239.48","-0.02%"
"Nov 06, 2017","239.53","239.53","239.53","239.53","0.14%"
"Nov 03, 2017","239.20","239.20","239.20","239.20","0.32%"
"Nov 02, 2017","238.44","238.44","238.44","238.44","0.03%"
"Nov 01, 2017","238.37","238.37","238.37","238.37","0.16%"
"Oct 31, 2017","237.99","237.99","237.99","237.99","0.10%"
"Oct 30, 2017","237.76","237.76","237.76","237.76","-0.31%"
"Oct 27, 2017","238.50","238.50","238.50","238.50","0.94%"
"Oct 25, 2017","236.29","236.29","236.29","236.29","-0.47%"
"Oct 24, 2017","237.40","237.40","237.40","237.40","0.16%"
"Oct 23, 2017","237.01","237.01","237.01","237.01","-0.40%"
"Oct 20, 2017","237.95","237.95","237.95","237.95","0.52%"
"Oct 19, 2017","236.72","236.72","236.72","236.72","0.04%"
"Oct 18, 2017","236.62","236.62","236.62","236.62","0.08%"
"Oct 17, 2017","236.44","236.44","236.44","236.44","0.07%"
"Oct 16, 2017","236.28","236.28","236.28","236.28","0.17%"
"Oct 13, 2017","235.87","235.87","235.87","235.87","0.09%"
"Oct 12, 2017","235.65","235.65","235.65","235.65","-0.16%"
"Oct 11, 2017","236.03","236.03","236.03","236.03","0.18%"
"Oct 10, 2017","235.60","235.60","235.60","235.60","0.23%"
"Oct 09, 2017","235.05","235.05","235.05","235.05","-0.18%"
"Oct 06, 2017","235.48","235.48","235.48","235.48","-0.08%"
"Oct 05, 2017","235.66","235.66","235.66","235.66","0.58%"
"Oct 04, 2017","234.29","234.29","234.29","234.29","0.13%"
"Oct 03, 2017","233.99","233.99","233.99","233.99","0.22%"
"Oct 02, 2017","233.47","233.47","233.47","233.47","0.39%"
"Sep 29, 2017","232.57","232.57","232.57","232.57","0.37%"
"Sep 28, 2017","231.71","231.71","231.71","231.71","0.14%"
"Sep 27, 2017","231.38","231.38","231.38","231.38","0.41%"
"Sep 26, 2017","230.44","230.44","230.44","230.44","0.01%"
"Sep 25, 2017","230.41","230.41","230.41","230.41","-0.22%"
"Sep 22, 2017","230.92","230.92","230.92","230.92","0.07%"
"Sep 21, 2017","230.76","230.76","230.76","230.76","-0.30%"
"Sep 20, 2017","231.46","231.46","231.46","231.46","0.06%"
"Sep 19, 2017","231.31","231.31","231.31","231.31","-0.40%"
"Sep 18, 2017","232.24","232.24","232.24","232.24","0.15%"
"Sep 15, 2017","231.90","231.90","231.90","231.90","0.20%"
"Sep 14, 2017","231.44","231.44","231.44","231.44","-0.08%"
"Sep 13, 2017","231.62","231.62","231.62","231.62","0.08%"
"Sep 12, 2017","231.44","231.44","231.44","231.44","0.34%"
"Sep 11, 2017","230.65","230.65","230.65","230.65","1.08%"
"Sep 08, 2017","228.18","228.18","228.18","228.18","-0.14%"
"Sep 07, 2017","228.51","228.51","228.51","228.51","0.00%"
"Sep 06, 2017","228.50","228.50","228.50","228.50","0.32%"
"Sep 05, 2017","227.78","227.78","227.78","227.78","-0.75%"
"Sep 01, 2017","229.51","229.51","229.51","229.51","0.21%"
"Aug 31, 2017","229.03","229.03","229.03","229.03","0.58%"
"Aug 30, 2017","227.72","227.72","227.72","227.72","0.49%"
"Aug 29, 2017","226.62","226.62","226.62","226.62","0.10%"
"Aug 28, 2017","226.39","226.39","226.39","226.39","0.05%"
"Aug 25, 2017","226.27","226.27","226.27","226.27","0.18%"
"Aug 24, 2017","225.87","225.87","225.87","225.87","-0.21%"
"Aug 23, 2017","226.34","226.34","226.34","226.34","-0.33%"
"Aug 22, 2017","227.10","227.10","227.10","227.10","1.00%"
"Aug 21, 2017","224.86","224.86","224.86","224.86","0.12%"
"Aug 18, 2017","224.59","224.59","224.59","224.59","-0.18%"
"Aug 17, 2017","225.00","225.00","225.00","225.00","-1.54%"
"Aug 16, 2017","228.52","228.52","228.52","228.52","0.17%"
"Aug 15, 2017","228.13","228.13","228.13","228.13","-0.03%"
"Aug 14, 2017","228.19","228.19","228.19","228.19","1.01%"
