"Date","Price","Open","High","Low","Change %"
"Mar 28, 2017","4.95","4.95","4.95","4.95","0.61%"
"Mar 27, 2017","4.92","4.92","4.92","4.92","-0.20%"
"Mar 24, 2017","4.93","4.93","4.93","4.93","0.00%"
"Mar 23, 2017","4.93","4.93","4.93","4.93","-0.20%"
"Mar 22, 2017","4.94","4.94","4.94","4.94","-0.20%"
"Mar 21, 2017","4.95","4.95","4.95","4.95","-0.20%"
"Mar 20, 2017","4.96","4.96","4.96","4.96","0.00%"
"Mar 17, 2017","4.96","4.96","4.96","4.96","0.20%"
"Mar 16, 2017","4.95","4.95","4.95","4.95","0.61%"
"Mar 15, 2017","4.92","4.92","4.92","4.92","0.61%"
"Mar 14, 2017","4.89","4.89","4.89","4.89","-0.61%"
"Mar 13, 2017","4.92","4.92","4.92","4.92","0.20%"
"Mar 10, 2017","4.91","4.91","4.91","4.91","-0.41%"
"Mar 09, 2017","4.93","4.93","4.93","4.93","-0.80%"
"Mar 08, 2017","4.97","4.97","4.97","4.97","-1.19%"
"Mar 07, 2017","5.03","5.03","5.03","5.03","-0.98%"
"Mar 06, 2017","5.08","5.08","5.08","5.08","0.00%"
"Mar 03, 2017","5.08","5.08","5.08","5.08","0.20%"
"Mar 02, 2017","5.07","5.07","5.07","5.07","-1.55%"
"Mar 01, 2017","5.15","5.15","5.15","5.15","0.78%"
"Feb 28, 2017","5.11","5.11","5.11","5.11","0.59%"
"Feb 27, 2017","5.08","5.08","5.08","5.08","-0.39%"
"Feb 24, 2017","5.10","5.10","5.10","5.10","0.20%"
"Feb 23, 2017","5.09","5.09","5.09","5.09","-0.20%"
"Feb 22, 2017","5.10","5.10","5.10","5.10","-0.39%"
"Feb 21, 2017","5.12","5.12","5.12","5.12","-0.19%"
"Feb 17, 2017","5.13","5.13","5.13","5.13","-0.39%"
"Feb 16, 2017","5.15","5.15","5.15","5.15","-0.58%"
"Feb 15, 2017","5.18","5.18","5.18","5.18","0.39%"
"Feb 14, 2017","5.16","5.16","5.16","5.16","0.00%"
"Feb 13, 2017","5.16","5.16","5.16","5.16","-0.77%"
"Feb 10, 2017","5.20","5.20","5.20","5.20","0.97%"
"Feb 09, 2017","5.15","5.15","5.15","5.15","0.00%"
"Feb 08, 2017","5.15","5.15","5.15","5.15","0.78%"
"Feb 07, 2017","5.11","5.11","5.11","5.11","0.00%"
"Feb 06, 2017","5.11","5.11","5.11","5.11","-0.20%"
"Feb 03, 2017","5.12","5.12","5.12","5.12","-0.39%"
"Feb 02, 2017","5.14","5.14","5.14","5.14","-0.19%"
"Feb 01, 2017","5.15","5.15","5.15","5.15","1.18%"
"Jan 31, 2017","5.09","5.09","5.09","5.09","0.59%"
"Jan 30, 2017","5.06","5.06","5.06","5.06","-0.98%"
"Jan 27, 2017","5.11","5.11","5.11","5.11","-0.39%"
"Jan 26, 2017","5.13","5.13","5.13","5.13","-0.19%"
"Jan 25, 2017","5.14","5.14","5.14","5.14","-0.39%"
"Jan 24, 2017","5.16","5.16","5.16","5.16","0.19%"
"Jan 23, 2017","5.15","5.15","5.15","5.15","0.19%"
"Jan 20, 2017","5.14","5.14","5.14","5.14","0.39%"
"Jan 19, 2017","5.12","5.12","5.12","5.12","-0.19%"
"Jan 18, 2017","5.13","5.13","5.13","5.13","-0.58%"
"Jan 17, 2017","5.16","5.16","5.16","5.16","0.39%"
"Jan 13, 2017","5.14","5.14","5.14","5.14","0.00%"
"Jan 12, 2017","5.14","5.14","5.14","5.14","1.58%"
"Jan 11, 2017","5.06","5.06","5.06","5.06","0.40%"
"Jan 10, 2017","5.04","5.04","5.04","5.04","0.60%"
"Jan 09, 2017","5.01","5.01","5.01","5.01","-1.18%"
"Jan 06, 2017","5.07","5.07","5.07","5.07","0.00%"
"Jan 05, 2017","5.07","5.07","5.07","5.07","0.40%"
"Jan 04, 2017","5.05","5.05","5.05","5.05","1.20%"
"Jan 03, 2017","4.99","4.99","4.99","4.99","-1.58%"
"Dec 30, 2016","5.07","5.07","5.07","5.07","0.00%"
"Dec 29, 2016","5.07","5.07","5.07","5.07","0.00%"
"Dec 28, 2016","5.07","5.07","5.07","5.07","0.00%"
"Dec 27, 2016","5.07","5.07","5.07","5.07","1.60%"
"Dec 23, 2016","4.99","4.99","4.99","4.99","-0.20%"
"Dec 22, 2016","5.00","5.00","5.00","5.00","0.00%"
"Dec 21, 2016","5.00","5.00","5.00","5.00","0.20%"
"Dec 20, 2016","4.99","4.99","4.99","4.99","-0.40%"
"Dec 19, 2016","5.01","5.01","5.01","5.01","-0.60%"
"Dec 16, 2016","5.04","5.04","5.04","5.04","0.20%"
"Dec 15, 2016","5.03","5.03","5.03","5.03","-0.79%"
"Dec 14, 2016","5.07","5.07","5.07","5.07","-0.39%"
"Dec 13, 2016","5.09","5.09","5.09","5.09","-0.20%"
"Dec 12, 2016","5.10","5.10","5.10","5.10","0.00%"
"Dec 09, 2016","5.10","5.10","5.10","5.10","0.79%"
"Dec 08, 2016","5.06","5.06","5.06","5.06","0.00%"
"Dec 07, 2016","5.06","5.06","5.06","5.06","-0.59%"
"Dec 06, 2016","5.09","5.09","5.09","5.09","-0.39%"
"Dec 05, 2016","5.11","5.11","5.11","5.11","1.39%"
"Dec 02, 2016","5.04","5.04","5.04","5.04","0.20%"
"Dec 01, 2016","5.03","5.03","5.03","5.03","1.21%"
"Nov 30, 2016","4.97","4.97","4.97","4.97","1.84%"
"Nov 29, 2016","4.88","4.88","4.88","4.88","-2.01%"
"Nov 28, 2016","4.98","4.98","4.98","4.98","1.22%"
"Nov 25, 2016","4.92","4.92","4.92","4.92","-0.40%"
"Nov 23, 2016","4.94","4.94","4.94","4.94","0.20%"
"Nov 22, 2016","4.93","4.93","4.93","4.93","0.41%"
"Nov 21, 2016","4.91","4.91","4.91","4.91","2.08%"
"Nov 18, 2016","4.81","4.81","4.81","4.81","0.42%"
"Nov 17, 2016","4.79","4.79","4.79","4.79","0.00%"
"Nov 16, 2016","4.79","4.79","4.79","4.79","-0.62%"
"Nov 15, 2016","4.82","4.82","4.82","4.82","1.05%"
"Nov 14, 2016","4.77","4.77","4.77","4.77","0.00%"
"Nov 11, 2016","4.77","4.77","4.77","4.77","-1.85%"
"Nov 10, 2016","4.86","4.86","4.86","4.86","0.00%"
"Nov 09, 2016","4.86","4.86","4.86","4.86","0.00%"
"Nov 08, 2016","4.86","4.86","4.86","4.86","0.00%"
"Nov 07, 2016","4.86","4.86","4.86","4.86","0.62%"
"Nov 04, 2016","4.83","4.83","4.83","4.83","-0.21%"
"Nov 03, 2016","4.84","4.84","4.84","4.84","-0.41%"
"Nov 02, 2016","4.86","4.86","4.86","4.86","-0.61%"
"Nov 01, 2016","4.89","4.89","4.89","4.89","-0.41%"
"Oct 31, 2016","4.91","4.91","4.91","4.91","-1.21%"
"Oct 28, 2016","4.97","4.97","4.97","4.97","-0.40%"
"Oct 27, 2016","4.99","4.99","4.99","4.99","0.81%"
"Oct 26, 2016","4.95","4.95","4.95","4.95","-0.60%"
"Oct 25, 2016","4.98","4.98","4.98","4.98","0.00%"
"Oct 24, 2016","4.98","4.98","4.98","4.98","0.00%"
"Oct 21, 2016","4.98","4.98","4.98","4.98","0.00%"
"Oct 20, 2016","4.98","4.98","4.98","4.98","-0.99%"
"Oct 19, 2016","5.03","5.03","5.03","5.03","0.40%"
"Oct 18, 2016","5.01","5.01","5.01","5.01","0.20%"
"Oct 17, 2016","5.00","5.00","5.00","5.00","0.20%"
"Oct 14, 2016","4.99","4.99","4.99","4.99","0.00%"
"Oct 13, 2016","4.99","4.99","4.99","4.99","0.81%"
"Oct 12, 2016","4.95","4.95","4.95","4.95","-0.60%"
"Oct 11, 2016","4.98","4.98","4.98","4.98","-0.60%"
"Oct 10, 2016","5.01","5.01","5.01","5.01","1.21%"
"Oct 07, 2016","4.95","4.95","4.95","4.95","0.20%"
"Oct 06, 2016","4.94","4.94","4.94","4.94","-0.40%"
"Oct 05, 2016","4.96","4.96","4.96","4.96","0.81%"
"Oct 04, 2016","4.92","4.92","4.92","4.92","-0.61%"
"Oct 03, 2016","4.95","4.95","4.95","4.95","0.20%"
"Sep 30, 2016","4.94","4.94","4.94","4.94","0.20%"
"Sep 29, 2016","4.93","4.93","4.93","4.93","0.20%"
"Sep 28, 2016","4.92","4.92","4.92","4.92","1.23%"
"Sep 27, 2016","4.86","4.86","4.86","4.86","-0.82%"
"Sep 26, 2016","4.90","4.90","4.90","4.90","0.62%"
"Sep 23, 2016","4.87","4.87","4.87","4.87","-1.42%"
"Sep 22, 2016","4.94","4.94","4.94","4.94","0.82%"
"Sep 21, 2016","4.90","4.90","4.90","4.90","0.62%"
"Sep 20, 2016","4.87","4.87","4.87","4.87","0.83%"
"Sep 19, 2016","4.83","4.83","4.83","4.83","0.42%"
"Sep 16, 2016","4.81","4.81","4.81","4.81","0.21%"
"Sep 15, 2016","4.80","4.80","4.80","4.80","0.42%"
"Sep 14, 2016","4.78","4.78","4.78","4.78","-0.42%"
"Sep 13, 2016","4.80","4.80","4.80","4.80","-1.23%"
"Sep 12, 2016","4.86","4.86","4.86","4.86","0.00%"
"Sep 09, 2016","4.86","4.86","4.86","4.86","-1.42%"
"Sep 08, 2016","4.93","4.93","4.93","4.93","1.44%"
"Sep 07, 2016","4.86","4.86","4.86","4.86","0.83%"
"Sep 06, 2016","4.82","4.82","4.82","4.82","0.42%"
"Sep 02, 2016","4.80","4.80","4.80","4.80","1.05%"
"Sep 01, 2016","4.75","4.75","4.75","4.75","-0.63%"
"Aug 31, 2016","4.78","4.78","4.78","4.78","-1.04%"
"Aug 30, 2016","4.83","4.83","4.83","4.83","-1.02%"
"Aug 29, 2016","4.88","4.88","4.88","4.88","-0.61%"
"Aug 26, 2016","4.91","4.91","4.91","4.91","0.00%"
"Aug 25, 2016","4.91","4.91","4.91","4.91","0.00%"
"Aug 24, 2016","4.91","4.91","4.91","4.91","-1.21%"
"Aug 23, 2016","4.97","4.97","4.97","4.97","0.40%"
"Aug 22, 2016","4.95","4.95","4.95","4.95","-0.60%"
"Aug 19, 2016","4.98","4.98","4.98","4.98","-0.60%"
"Aug 18, 2016","5.01","5.01","5.01","5.01","1.01%"
"Aug 17, 2016","4.96","4.96","4.96","4.96","0.00%"
"Aug 16, 2016","4.96","4.96","4.96","4.96","0.61%"
"Aug 15, 2016","4.93","4.93","4.93","4.93","1.44%"
"Aug 12, 2016","4.86","4.86","4.86","4.86","0.00%"
"Aug 11, 2016","4.86","4.86","4.86","4.86","0.83%"
"Aug 10, 2016","4.82","4.82","4.82","4.82","-0.41%"
