ID,diagOnly,meta,metaRate,penalty,initAlpha,initD,wGen,initLambda,finalLambda,tauLambda
115,0,1,0.01,0.001,0.001,0.001,0.0001,1e-05,0.99,0.05
116,1,1,0.01,0.001,0.001,0.001,0.0001,1e-05,0.99,0.05
117,0,0,0.1,0.001,0.001,0.001,0.0001,1e-05,0.99,0.05
118,1,0,0.1,0.001,0.001,0.001,0.0001,1e-05,0.99,0.05
119,0,1,0.1,0.001,0.001,0.001,0.0001,1e-05,0.99,0.05
120,1,1,0.1,0.001,0.001,0.001,0.0001,1e-05,0.99,0.05
121,0,0,0.001,0.0001,0.01,0.001,0.0001,1e-05,0.99,0.05
122,1,0,0.001,0.0001,0.01,0.001,0.0001,1e-05,0.99,0.05
123,0,1,0.001,0.0001,0.01,0.001,0.0001,1e-05,0.99,0.05
124,1,1,0.001,0.0001,0.01,0.001,0.0001,1e-05,0.99,0.05
125,0,0,0.01,0.0001,0.01,0.001,0.0001,1e-05,0.99,0.05
126,1,0,0.01,0.0001,0.01,0.001,0.0001,1e-05,0.99,0.05
127,0,1,0.01,0.0001,0.01,0.001,0.0001,1e-05,0.99,0.05
128,1,1,0.01,0.0001,0.01,0.001,0.0001,1e-05,0.99,0.05
129,0,0,0.1,0.0001,0.01,0.001,0.0001,1e-05,0.99,0.05
130,1,0,0.1,0.0001,0.01,0.001,0.0001,1e-05,0.99,0.05
131,0,1,0.1,0.0001,0.01,0.001,0.0001,1e-05,0.99,0.05
132,1,1,0.1,0.0001,0.01,0.001,0.0001,1e-05,0.99,0.05
133,0,0,0.001,0.001,0.01,0.001,0.0001,1e-05,0.99,0.05
134,1,0,0.001,0.001,0.01,0.001,0.0001,1e-05,0.99,0.05
135,0,1,0.001,0.001,0.01,0.001,0.0001,1e-05,0.99,0.05
136,1,1,0.001,0.001,0.01,0.001,0.0001,1e-05,0.99,0.05
137,0,0,0.01,0.001,0.01,0.001,0.0001,1e-05,0.99,0.05
138,1,0,0.01,0.001,0.01,0.001,0.0001,1e-05,0.99,0.05
139,0,1,0.01,0.001,0.01,0.001,0.0001,1e-05,0.99,0.05
140,1,1,0.01,0.001,0.01,0.001,0.0001,1e-05,0.99,0.05
141,0,0,0.1,0.001,0.01,0.001,0.0001,1e-05,0.99,0.05
142,1,0,0.1,0.001,0.01,0.001,0.0001,1e-05,0.99,0.05
143,0,1,0.1,0.001,0.01,0.001,0.0001,1e-05,0.99,0.05
144,1,1,0.1,0.001,0.01,0.001,0.0001,1e-05,0.99,0.05
145,0,0,0.001,0.0001,0.0001,0.01,0.0001,1e-05,0.99,0.05
146,1,0,0.001,0.0001,0.0001,0.01,0.0001,1e-05,0.99,0.05
147,0,1,0.001,0.0001,0.0001,0.01,0.0001,1e-05,0.99,0.05
148,1,1,0.001,0.0001,0.0001,0.01,0.0001,1e-05,0.99,0.05
149,0,0,0.01,0.0001,0.0001,0.01,0.0001,1e-05,0.99,0.05
150,1,0,0.01,0.0001,0.0001,0.01,0.0001,1e-05,0.99,0.05
151,0,1,0.01,0.0001,0.0001,0.01,0.0001,1e-05,0.99,0.05
152,1,1,0.01,0.0001,0.0001,0.01,0.0001,1e-05,0.99,0.05
153,0,0,0.1,0.0001,0.0001,0.01,0.0001,1e-05,0.99,0.05
154,1,0,0.1,0.0001,0.0001,0.01,0.0001,1e-05,0.99,0.05
155,0,1,0.1,0.0001,0.0001,0.01,0.0001,1e-05,0.99,0.05
156,1,1,0.1,0.0001,0.0001,0.01,0.0001,1e-05,0.99,0.05
157,0,0,0.001,0.001,0.0001,0.01,0.0001,1e-05,0.99,0.05
158,1,0,0.001,0.001,0.0001,0.01,0.0001,1e-05,0.99,0.05
159,0,1,0.001,0.001,0.0001,0.01,0.0001,1e-05,0.99,0.05
